GBR,agree,0.335407258306,0.059130083892
GBR,thinking,0.518732736749,0.281726985455
GBR,understand,0.429215037042,0.134434505048
GBR,question,0.0926669604341,0.203334087958
KEN,agree,0.455296059738,0.139785838345
KEN,thinking,0.413379449591,0.294092381765
KEN,understand,0.405097585237,0.184503787049
KEN,question,0.139571417456,0.118488326167
IND,agree,0.384000117998,0.145761909747
IND,thinking,0.338418391798,0.148690512484
IND,understand,0.292217515444,0.212178691553
IND,question,0.149045955633,0.103185869079
Overall,Overall,0.329420707119
