GBR,agree,0.320174140601,0.0615127809192
GBR,thinking,0.446145891898,0.218598272428
GBR,understand,0.394045693094,0.128199699068
GBR,question,0.203228273109,0.201460742462
KEN,agree,0.461765994462,0.141363659901
KEN,thinking,0.360762462826,0.219952780815
KEN,understand,0.430828310034,0.17190635367
KEN,question,0.162501383608,0.166606757126
IND,agree,0.400018853331,0.0913975451487
IND,thinking,0.304396191163,0.16478274258
IND,understand,0.256977259483,0.119730036501
IND,question,0.235075769121,0.139312893051
Overall,Overall,0.331326685228
